,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
0,nilmoretto,52499387,1052132,1491,200,172,1007.97,1567751.18,1252.10,200,0.245,0.14,0.07,0.11,0.16,0.11,0.165,28.57,106.82,10.34,11,1.22,http://pbs.twimg.com/profile_images/745438711815376897/__dLHJyE_normal.jpg,https://pbs.twimg.com/profile_images/745438711815376897/__dLHJyE_normal.jpg
1,mxccbs,2562651413,645,408,200,186,15715.27,479036260.12,21886.90,200,0.145,0.185,0.125,0.14,0.2,0.075,0.13,28.57,57.96,7.61,3,1.00,http://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg,https://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg
2,LucasBr24246978,954064255225073664,7,378,200,180,17109.94,776721262.71,27869.72,200,0.19,0.125,0.125,0.16,0.11,0.05,0.24,28.57,127.39,11.29,11,1.38,http://pbs.twimg.com/profile_images/983106333930147840/XoJPWu-D_normal.jpg,https://pbs.twimg.com/profile_images/983106333930147840/XoJPWu-D_normal.jpg
3,mxccbs,2562651413,645,408,200,186,15715.27,479036260.12,21886.90,200,0.145,0.185,0.125,0.14,0.2,0.075,0.13,28.57,57.96,7.61,3,1.00,http://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg,https://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg
4,LucasBr24246978,954064255225073664,7,378,200,180,17109.94,776721262.71,27869.72,200,0.19,0.125,0.125,0.16,0.11,0.05,0.24,28.57,127.39,11.29,11,1.38,http://pbs.twimg.com/profile_images/983106333930147840/XoJPWu-D_normal.jpg,https://pbs.twimg.com/profile_images/983106333930147840/XoJPWu-D_normal.jpg
5,glp39,2574810392,26948,19287,200,165,1215.16,6071727.26,2464.09,200,0.245,0.15,0.255,0.26,0.055,0.01,0.025,28.57,434.53,20.85,72,1.33,http://pbs.twimg.com/profile_images/983752311016075264/w9UCKTc9_normal.jpg,https://pbs.twimg.com/profile_images/983752311016075264/w9UCKTc9_normal.jpg
6,MaiconSaviato,3285797855,1026,4979,200,171,9.31,36.92,6.08,200,0.235,0.015,0.095,0.215,0.095,0.12,0.225,28.57,239.39,15.47,62,1.27,http://pbs.twimg.com/profile_images/886803891794452480/eDgGbULz_normal.jpg,https://pbs.twimg.com/profile_images/886803891794452480/eDgGbULz_normal.jpg
7,joguefacil,900446956106985473,437,1634,200,182,16365.86,902808926.81,30046.78,200,0.095,0.245,0.415,0.07,0.13,0.015,0.03,28.57,693.39,26.33,78,2.52,http://pbs.twimg.com/profile_images/911275699549458432/gpvDhT_y_normal.jpg,https://pbs.twimg.com/profile_images/911275699549458432/gpvDhT_y_normal.jpg
8,GzNfps,2302200770,1771,1065,200,173,4276.01,54990496.38,7415.56,200,0.11,0.2,0.1,0.135,0.225,0.09,0.14,28.57,90.24,9.50,6,1.50,http://pbs.twimg.com/profile_images/1006528029143773190/kxffUeb6_normal.jpg,https://pbs.twimg.com/profile_images/1006528029143773190/kxffUeb6_normal.jpg
9,mxccbs,2562651413,645,408,200,186,15715.27,479036260.12,21886.90,200,0.145,0.185,0.125,0.14,0.2,0.075,0.13,28.57,57.96,7.61,3,1.00,http://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg,https://pbs.twimg.com/profile_images/1003358219966742529/RomI24ZQ_normal.jpg
