,0
0,yunnikimbeta
1,cidaferreyra
2,JlioCsarRamosF2
3,Thiphles
4,EdmilsonAlber13
5,FLSartori
6,lipeventola
7,Nadson_Pessoa
8,djmaicon_souza
9,cidaferreyra
10,JlioCsarRamosF2
11,Thiphles
12,EdmilsonAlber13
13,FLSartori
14,lipeventola
15,123_karollainy
16,Mimi_pereira2
17,itsmaellybueno
18,JuliaSouzahaha
19,Millyliima027
20,Iaeehny15
21,Sarmento_lbr
22,_fernandaoo
23,mamayankee1
24,ju_ninho85
25,JairWellington2
26,LuaMascarenhass
27,Jef_Sdv
28,Eitaa_Stanley
29,trouxaZ_S
30,Qqueaconteceu
31,Laraalice52
32,euricodtna
33,augustcotrim
34,MafiaSDV
35,chaninhoo
36,EikarenSantos
37,anabialealll
38,dennisrod95
39,Pedro76297136
40,Poxafalcaokkkj
41,talitiinha
42,MarcellaTomazi1
43,_visoaresp
44,BeloPau2
45,Marly594
46,anyhfernandez
47,milla_santooss
48,obandersoncosta
49,erlanoficial
50,VinceRodrig_
51,LegiaoUrbanabr
52,TomDAraujo_
53,ACiardulo
54,jbpereirarj
55,Claudio98395539
56,cscmeuamormaior
57,bianemarota
58,Valdeniquebrito
59,eder_meneze
60,dpaloma985
61,wellingtonnn307
62,IsmaelCav18
63,NatsLis
64,romildaa2013
65,PabloRi42979426
66,rpspersonal
67,brenncan
68,RefletindoPaz
69,souhawk
70,ai_maruca
71,daniisouzahh1
72,nao_to_sabendo
73,davi_pinudo
74,Andrea_souzaah
75,deiaharmonizer
76,saopaulo011com
77,jon_heb
78,Juniiorx
79,AlineParreira3
80,heldoncruzsilva
81,Drogariaguanaba
82,fabiokratos42
83,GAO_CB
84,JhonattanGomess
85,levisaraiva07
86,Alanderson_beta
87,abraatiko
88,AllanAguiar9
89,galdinosaqua
90,IfbProfessorSDV
91,joeldesouza2626
92,Jef_Sdv
93,fuleragezinha
94,waynealvim
95,velton_player
96,Matheus_MR77
97,josebalvinson
98,mamayankee1
