;screen_name;id;followers;friends;number_tweets;mean;variance;standard_deviation;monday;tuesday;wednesday;thursday;friday;saturday;sunday;mean_day_week;variance_day_week;standard_deviation_day_week;number_hashtags;hashtag_per_tweet;profile_image_url;profile_image_url_https
0;0;400126373;136115;70;37;21657.70;384886717.29;19618.53;0.2631578947368421;0.10526315789473684;0.13157894736842105;0.02631578947368421;0.18421052631578946;0.05263157894736842;0.23684210526315788;5.43;9.96;3.16;3;0.015;http://pbs.twimg.com/profile_images/978833376680595457/OZdUMJCS_normal.jpg;https://pbs.twimg.com/profile_images/978833376680595457/OZdUMJCS_normal.jpg
1;paiNGamingBR;236112959;363464;93;176;1873.64;4327195.53;2080.19;0.205;0.135;0.16;0.165;0.14;0.105;0.09;28.57;51.10;7.15;15;0.22;http://pbs.twimg.com/profile_images/925707519611326465/piv76xGC_normal.jpg;https://pbs.twimg.com/profile_images/925707519611326465/piv76xGC_normal.jpg
2;Renan16398479;988947790054199296;0;64;16;1125.00;2561758.00;1600.55;0.0;0.0;0.9523809523809523;0.047619047619047616;0.0;0.0;0.0;3.00;48.29;6.95;2;0.01;http://pbs.twimg.com/profile_images/988954122035621889/4BWLTiEN_normal.jpg;https://pbs.twimg.com/profile_images/988954122035621889/4BWLTiEN_normal.jpg
3;bvale08;887497051734454276;1;103;30;3819.97;27042411.17;5200.23;0.05555555555555555;0.1111111111111111;0.4444444444444444;0.05555555555555555;0.027777777777777776;0.2222222222222222;0.08333333333333333;5.14;24.12;4.91;4;0.025;http://pbs.twimg.com/profile_images/894701516367552512/42T4Euzp_normal.jpg;https://pbs.twimg.com/profile_images/894701516367552512/42T4Euzp_normal.jpg
4;orbacamadb;986187625856946176;0;18;1;2307.00;0.00;0.00;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.29;0.49;0.70;1;0.005;http://pbs.twimg.com/profile_images/989077832209969153/lV4tEgHB_normal.jpg;https://pbs.twimg.com/profile_images/989077832209969153/lV4tEgHB_normal.jpg
5;Josielylima11;986776202647101440;14;343;3;55663.33;1388681296.22;37265.01;0.25;0.25;0.25;0.25;0.0;0.0;0.0;0.57;0.24;0.49;1;0.005;http://pbs.twimg.com/profile_images/988213523078615040/Awb5yvIF_normal.jpg;https://pbs.twimg.com/profile_images/988213523078615040/Awb5yvIF_normal.jpg
6;StallezinhoYan;989050435901280256;1;93;6;817.00;323451.33;568.73;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.00;6.00;2.45;0;0.0;http://pbs.twimg.com/profile_images/989061497753042950/VJXkoeZc_normal.jpg;https://pbs.twimg.com/profile_images/989061497753042950/VJXkoeZc_normal.jpg
7;hFndot4;859947246581841921;2168;12;7;7440.43;17293889.96;4158.59;0.1111111111111111;0.2222222222222222;0.0;0.1111111111111111;0.3333333333333333;0.2222222222222222;0.0;1.29;1.06;1.03;0;0.0;http://pbs.twimg.com/profile_images/904425040715927554/DBE1BstZ_normal.jpg;https://pbs.twimg.com/profile_images/904425040715927554/DBE1BstZ_normal.jpg
8;BrumGabs;946990822926503936;39;159;97;1781.94;17329733.25;4162.90;0.2396694214876033;0.21487603305785125;0.2066115702479339;0.024793388429752067;0.06611570247933884;0.1487603305785124;0.09917355371900827;17.29;84.49;9.19;1;0.005;http://pbs.twimg.com/profile_images/980925890459852800/t0AbzFS4_normal.jpg;https://pbs.twimg.com/profile_images/980925890459852800/t0AbzFS4_normal.jpg
9;Orionsa60;3054674722;19;308;135;25090.50;714978545.89;26739.08;0.1323529411764706;0.09558823529411764;0.10294117647058823;0.1323529411764706;0.1323529411764706;0.23529411764705882;0.16911764705882354;19.43;35.39;5.95;7;0.05;http://pbs.twimg.com/profile_images/958039344006254595/-8C2tPIi_normal.jpg;https://pbs.twimg.com/profile_images/958039344006254595/-8C2tPIi_normal.jpg
10;altivofanty1;988265842491174912;30;92;52;1091.83;2927647.45;1711.04;0.031746031746031744;0.38095238095238093;0.5079365079365079;0.07936507936507936;0.0;0.0;0.0;9.00;151.71;12.32;0;0.0;http://pbs.twimg.com/profile_images/988972973523644417/haqF8jR7_normal.jpg;https://pbs.twimg.com/profile_images/988972973523644417/haqF8jR7_normal.jpg
11;Cr_ribeiro_;988838443605266432;2;82;2;62847.50;2438282.25;1561.50;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.43;0.53;0.73;0;0.0;http://pbs.twimg.com/profile_images/988904381138468865/k6rZ4Nbo_normal.jpg;https://pbs.twimg.com/profile_images/988904381138468865/k6rZ4Nbo_normal.jpg
12;StallezinhoYan;989050435901280256;1;93;6;817.00;323451.33;568.73;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.00;6.00;2.45;0;0.0;http://pbs.twimg.com/profile_images/989061497753042950/VJXkoeZc_normal.jpg;https://pbs.twimg.com/profile_images/989061497753042950/VJXkoeZc_normal.jpg
13;Dropbearsgg;970886865099268096;289;287;50;7615.00;50272894.48;7090.34;0.17857142857142858;0.23214285714285715;0.10714285714285714;0.19642857142857142;0.07142857142857142;0.05357142857142857;0.16071428571428573;8.00;12.00;3.46;9;0.165;http://pbs.twimg.com/profile_images/970891854416760833/R8zbdCWY_normal.jpg;https://pbs.twimg.com/profile_images/970891854416760833/R8zbdCWY_normal.jpg
