,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
0,yunnikimbeta,829711033728192512,8877,14,200,172,30.35,885.62,29.76,200,0.14,0.01,0.225,0.25,0.23,0.0,0.145,28.57,365.10,19.11,0,0.00,http://pbs.twimg.com/profile_images/972577831254413313/LqE97nec_normal.jpg,https://pbs.twimg.com/profile_images/972577831254413313/LqE97nec_normal.jpg
1,cidaferreyra,1114099146,457,1031,200,160,21.73,457.39,21.39,200,0.225,0.295,0.135,0.155,0.095,0.07,0.025,28.57,294.82,17.17,5,1.25,http://pbs.twimg.com/profile_images/702611178636361732/yzdpM1pv_normal.jpg,https://pbs.twimg.com/profile_images/702611178636361732/yzdpM1pv_normal.jpg
2,JlioCsarRamosF2,892438987310338048,88,246,200,151,4.23,0.77,0.88,200,0.06,0.145,0.315,0.0,0.235,0.08,0.165,28.57,399.10,19.98,132,1.86,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
3,Thiphles,912768228262318090,175,856,200,151,311.54,138276.47,371.86,200,0.045,0.14,0.06,0.24,0.17,0.255,0.09,28.57,239.96,15.49,29,1.07,http://pbs.twimg.com/profile_images/1002662931992121351/3NY90EQD_normal.jpg,https://pbs.twimg.com/profile_images/1002662931992121351/3NY90EQD_normal.jpg
4,EdmilsonAlber13,841424757568483328,1267,2288,200,167,4.11,13.87,3.72,200,0.0,0.005,0.005,0.54,0.11,0.33,0.01,28.57,1542.24,39.27,78,1.95,http://pbs.twimg.com/profile_images/892821785116323840/iOD7XC2W_normal.jpg,https://pbs.twimg.com/profile_images/892821785116323840/iOD7XC2W_normal.jpg
5,FLSartori,59788857,40732,43106,200,159,4401.64,142357474.68,11931.37,200,0.07,0.13,0.075,0.165,0.455,0.055,0.05,28.57,710.53,26.66,124,1.94,http://pbs.twimg.com/profile_images/439582515670417408/kfQLlO2h_normal.png,https://pbs.twimg.com/profile_images/439582515670417408/kfQLlO2h_normal.png
6,lipeventola,859833372209803264,1108,1170,200,174,1.60,1.14,1.07,200,0.46,0.0,0.54,0.0,0.0,0.0,0.0,28.57,2059.10,45.38,0,0.00,http://pbs.twimg.com/profile_images/882969359639085056/Jx5vUKCZ_normal.jpg,https://pbs.twimg.com/profile_images/882969359639085056/Jx5vUKCZ_normal.jpg
7,Nadson_Pessoa,3294219319,7488,7353,200,165,5606.02,158812476.91,12602.08,200,0.095,0.35,0.08,0.14,0.16,0.105,0.07,28.57,321.10,17.92,54,2.70,http://pbs.twimg.com/profile_images/948268877338873856/OWgfJFCN_normal.jpg,https://pbs.twimg.com/profile_images/948268877338873856/OWgfJFCN_normal.jpg
8,djmaicon_souza,894093269713506304,1165,586,200,181,19427.72,826428492.25,28747.67,200,0.12,0.16,0.225,0.145,0.195,0.06,0.095,28.57,111.10,10.54,20,1.82,http://pbs.twimg.com/profile_images/991612275600609281/964yhapX_normal.jpg,https://pbs.twimg.com/profile_images/991612275600609281/964yhapX_normal.jpg
9,cidaferreyra,1114099146,457,1031,200,160,21.73,457.39,21.39,200,0.225,0.295,0.135,0.155,0.095,0.07,0.025,28.57,294.82,17.17,5,1.25,http://pbs.twimg.com/profile_images/702611178636361732/yzdpM1pv_normal.jpg,https://pbs.twimg.com/profile_images/702611178636361732/yzdpM1pv_normal.jpg
10,JlioCsarRamosF2,892438987310338048,88,246,200,151,4.23,0.77,0.88,200,0.06,0.145,0.315,0.0,0.235,0.08,0.165,28.57,399.10,19.98,132,1.86,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
11,Thiphles,912768228262318090,175,856,200,151,311.54,138276.47,371.86,200,0.045,0.14,0.06,0.24,0.17,0.255,0.09,28.57,239.96,15.49,29,1.07,http://pbs.twimg.com/profile_images/1002662931992121351/3NY90EQD_normal.jpg,https://pbs.twimg.com/profile_images/1002662931992121351/3NY90EQD_normal.jpg
12,EdmilsonAlber13,841424757568483328,1267,2288,200,167,4.11,13.87,3.72,200,0.0,0.005,0.005,0.54,0.11,0.33,0.01,28.57,1542.24,39.27,78,1.95,http://pbs.twimg.com/profile_images/892821785116323840/iOD7XC2W_normal.jpg,https://pbs.twimg.com/profile_images/892821785116323840/iOD7XC2W_normal.jpg
13,FLSartori,59788857,40732,43106,200,159,4401.64,142357474.68,11931.37,200,0.07,0.13,0.075,0.165,0.455,0.055,0.05,28.57,710.53,26.66,124,1.94,http://pbs.twimg.com/profile_images/439582515670417408/kfQLlO2h_normal.png,https://pbs.twimg.com/profile_images/439582515670417408/kfQLlO2h_normal.png
14,lipeventola,859833372209803264,1108,1170,200,174,1.60,1.14,1.07,200,0.46,0.0,0.54,0.0,0.0,0.0,0.0,28.57,2059.10,45.38,0,0.00,http://pbs.twimg.com/profile_images/882969359639085056/Jx5vUKCZ_normal.jpg,https://pbs.twimg.com/profile_images/882969359639085056/Jx5vUKCZ_normal.jpg
15,123_karollainy,4323264982,186,154,200,156,656.25,3060741.53,1749.50,200,0.12,0.1,0.265,0.065,0.23,0.115,0.105,28.57,189.39,13.76,46,1.00,http://pbs.twimg.com/profile_images/953014276737945600/kfeEkfr6_normal.jpg,https://pbs.twimg.com/profile_images/953014276737945600/kfeEkfr6_normal.jpg
16,Mimi_pereira2,1001443142611193856,183,641,200,163,303.39,292928.59,541.23,200,0.04,0.02,0.28,0.18,0.265,0.11,0.105,28.57,361.67,19.02,2,1.00,http://pbs.twimg.com/profile_images/1006737813780467717/ecKigEsT_normal.jpg,https://pbs.twimg.com/profile_images/1006737813780467717/ecKigEsT_normal.jpg
