,screen_name,id,followers,friends,number_tweets,number_tweets_intervals,mean_interval_tweets,variance_interval_tweets,standard_deviation_interval_tweets,number_tweets_week,monday_relative_frequence,tuesday_relative_frequence,wednesday_relative_frequence,thursday_relative_frequence,friday_relative_frequence,saturday_relative_frequence,sunday_relative_frequence,mean_day_week,variance_day_week,standard_deviation_day_week,number_hashtags,hashtag_per_tweet,profile_image_url,profile_image_url_https
0,nFleeur,78721564,93847,362,200,164,1394.01,7230202.85,2688.90,200,0.18,0.105,0.145,0.13,0.12,0.22,0.1,28.57,64.53,8.03,3,1.50,http://pbs.twimg.com/profile_images/985634645608890368/Nqyntck4_normal.jpg,https://pbs.twimg.com/profile_images/985634645608890368/Nqyntck4_normal.jpg
1,hu3_victor,3475256121,65,158,200,170,46468.19,7500230519.72,86603.87,200,0.14,0.07,0.17,0.17,0.18,0.11,0.16,28.57,54.53,7.38,15,1.36,http://pbs.twimg.com/profile_images/838968718545850368/j1uHp8dB_normal.jpg,https://pbs.twimg.com/profile_images/838968718545850368/j1uHp8dB_normal.jpg
2,igornorant,225032168,596,452,200,185,19126.99,774472745.84,27829.35,200,0.165,0.135,0.15,0.14,0.115,0.105,0.19,28.57,28.82,5.37,1,1.00,http://pbs.twimg.com/profile_images/1008404988983496705/jX2myg9d_normal.jpg,https://pbs.twimg.com/profile_images/1008404988983496705/jX2myg9d_normal.jpg
3,cutestfaceever,768949610199089153,86,1547,200,185,10894.82,294086464.15,17148.95,200,0.065,0.1,0.205,0.185,0.17,0.16,0.115,28.57,87.67,9.36,37,1.76,http://pbs.twimg.com/profile_images/905904768912117760/0A9UVDhd_normal.jpg,https://pbs.twimg.com/profile_images/905904768912117760/0A9UVDhd_normal.jpg
4,nandoXplay,870402504047169538,48,277,200,172,8804.76,267918431.37,16368.21,200,0.055,0.145,0.275,0.16,0.165,0.09,0.11,28.57,170.53,13.06,52,1.30,http://pbs.twimg.com/profile_images/877705176613888001/nOjJPI44_normal.jpg,https://pbs.twimg.com/profile_images/877705176613888001/nOjJPI44_normal.jpg
5,ZeCsharp,547014478,214,1141,200,183,682.26,747539.58,864.60,200,0.12,0.0,0.0,0.06,0.245,0.295,0.28,28.57,574.82,23.98,37,1.42,http://pbs.twimg.com/profile_images/1007790860577247232/B0vsydHe_normal.jpg,https://pbs.twimg.com/profile_images/1007790860577247232/B0vsydHe_normal.jpg
6,lhalt_,3036501293,20,312,200,165,10268.51,461601460.98,21484.91,200,0.155,0.135,0.105,0.11,0.095,0.17,0.23,28.57,76.24,8.73,11,1.38,http://pbs.twimg.com/profile_images/1008068970866446337/-eG1L8OQ_normal.jpg,https://pbs.twimg.com/profile_images/1008068970866446337/-eG1L8OQ_normal.jpg
7,pam_ketlim,2774003031,311,545,200,165,1262.88,5324942.78,2307.58,200,0.13,0.065,0.01,0.17,0.27,0.18,0.175,28.57,246.82,15.71,0,0.00,http://pbs.twimg.com/profile_images/1006693192119541761/1u4mkzql_normal.jpg,https://pbs.twimg.com/profile_images/1006693192119541761/1u4mkzql_normal.jpg
8,Kevellyngizell1,896026551560568832,4691,4734,200,169,110.98,15597.38,124.89,200,0.08,0.0,0.0,0.0,0.0,0.2,0.72,28.57,2411.10,49.10,8,1.33,http://pbs.twimg.com/profile_images/1002243548505427969/TYR7XWRD_normal.jpg,https://pbs.twimg.com/profile_images/1002243548505427969/TYR7XWRD_normal.jpg
9,Citeifofinha,4518936855,28138,2076,200,161,6406.07,208285381.55,14432.10,200,0.045,0.145,0.155,0.065,0.13,0.06,0.4,28.57,508.24,22.54,5,1.25,http://pbs.twimg.com/profile_images/1004186026443722754/0n76mI97_normal.jpg,https://pbs.twimg.com/profile_images/1004186026443722754/0n76mI97_normal.jpg
10,ariel_chief,439474275,1056,2400,200,191,11141.98,180416193.87,13431.91,200,0.22,0.13,0.14,0.085,0.115,0.12,0.19,28.57,74.24,8.62,66,1.38,http://pbs.twimg.com/profile_images/975728464299950080/O_BRVWgv_normal.jpg,https://pbs.twimg.com/profile_images/975728464299950080/O_BRVWgv_normal.jpg
11,falaaidn,1001616983383838720,1368,3728,200,161,49.09,2357.01,48.55,200,0.035,0.0,0.0,0.0,0.18,0.295,0.49,28.57,1245.10,35.29,6,1.00,http://pbs.twimg.com/profile_images/1002620112107696128/abyaUdAw_normal.jpg,https://pbs.twimg.com/profile_images/1002620112107696128/abyaUdAw_normal.jpg
12,SPFCBASQUETEBOL,795755161515855873,377,883,200,182,56742.53,3627349163.02,60227.48,200,0.1,0.12,0.165,0.15,0.195,0.165,0.105,28.57,43.10,6.57,403,4.48,http://pbs.twimg.com/profile_images/795857244688683008/odM28unl_normal.jpg,https://pbs.twimg.com/profile_images/795857244688683008/odM28unl_normal.jpg
13,Tathi_Freitas_,925569235224494080,555,540,200,168,1886.95,11459103.94,3385.13,200,0.185,0.08,0.08,0.195,0.03,0.195,0.235,28.57,207.67,14.41,57,1.73,http://pbs.twimg.com/profile_images/986023102676197381/K3UWQdfY_normal.jpg,https://pbs.twimg.com/profile_images/986023102676197381/K3UWQdfY_normal.jpg
