,0
0,nFleeur
1,hu3_victor
2,igornorant
3,cutestfaceever
4,nandoXplay
5,ZeCsharp
6,lhalt_
7,pam_ketlim
8,Kevellyngizell1
9,Citeifofinha
10,ariel_chief
11,falaaidn
12,SPFCBASQUETEBOL
13,Tathi_Freitas_
14,duarduuuu
15,srta_bete
16,mii_ooliveira
17,liownelmessi
18,saopaulofcb
19,Dias_Aninha
20,laine_cambuy
21,matheuspradog
22,PetterBrendel
23,minhoii652
24,Cristina7257872
25,ofutemundo
26,Barbara65588437
27,ofutebolnaveia
28,Millyliima027
29,Thu_31_23
30,Pollyana_Prado1
31,pokosofredora
32,DiogobacchRock
33,jmal9374
34,AndressaSilvaBM
35,ElisonSoeiro
36,Rui_Correia_18
37,alissonryt
38,RickyVittek
39,biebrxgirl
40,danyalmeida38
41,terrorista_Cec
42,youtuberspop
43,RaissaBrrr
44,davidballot
45,ofutebolnaveia
46,maryjeey_
47,arichard481
48,meloogeovana
49,laivezao
50,gafb220
51,zackgamesls
52,Duodrip
53,Debinha_souza09
54,Izaaoliveira5
55,Poxaah_Santoss
56,yuri_castellary
57,joycemartinsss1
58,ttdaRuiiva
59,_HosanaMonteiro
60,Victoriamarilza
61,GabriiellaaR
62,ofutebolnaveia
63,daryIdixox
64,SPFCBASQUETEBOL
65,onossofutebol
66,MinutoSpfc
67,vitortechnik
68,futepackz
69,spfclwbe
70,magalhaesillana
71,moreiradab
72,HSpfc2018
73,sergio_01spfc
74,annyspfc
75,Bewker
76,jeanjjs_
77,van_halisson
78,kotokami484
79,kennedychris14
80,RenatoSCCP2001
81,ricardo79718663
82,sou_zoom
83,weslleywos7
84,heeyfer_
85,m_isadorac
86,falaaidn
87,guiranngell
88,Citou_Lee
89,paiva19_
90,Vihmedeiros7
91,4leporto
92,JamesJotaerri
93,DouglasHBorges9
94,joaovctr_
95,valle_feliphe
96,BrayanVellar
97,juniorrezender
98,marlonsiq97
99,soneiracrf
100,DJ2R_OFC
101,Emanuellyyyi
102,pimentel021
103,bagda_157
104,victorrubem1
105,RlxRayan
106,777couto
107,arichard481
108,meloogeovana
109,laivezao
110,gafb220
111,zackgamesls
112,Duodrip
113,Debinha_souza09
114,Izaaoliveira5
115,Poxaah_Santoss
116,yuri_castellary
117,joycemartinsss1
118,ttdaRuiiva
119,_HosanaMonteiro
120,Victoriamarilza
121,GabriiellaaR
122,zackgamesls
123,pqpsaami
124,falaaidn
125,Wendersongonal4
126,freefrire07
127,_clemeente
128,Taticrvg4
129,MtVdv3
130,Tjootaa
131,mlkmedina
132,CarecaDaVasco
133,laviniarrn
134,FlauzinoKaay
135,MikeRichard23
136,_Helenin_
137,GuilhermeWalk15
138,fazendotakices
139,Fabiana02174341
140,SrPimenta_
141,Biel_Jr100
142,WesleiSantosWS
143,luigicellindo
144,FaelMartiins10
145,Dessinha_2Bjs
146,PeixoutoGustavo
147,yasminArcidile
148,Joaomsan
149,Matheus2_Haas
150,guimartins_m
151,Nenemaltmayerr
152,noiado666
153,mctaverson
154,SPFC_Classico
155,daryIdixox
156,gabrieelgobbi
157,crfvisca
158,iniesta8infinit
159,_Rafaell787
160,_cwrinthians
161,fuckwithnigga
162,Andreg1903
163,santistwa
164,internxcional
165,irthycs
166,braziIeirx
167,potterhalder
168,fluxopcy
169,whyanp_
170,Lucas_EduardoRP
171,ixteg
172,DielitonMartins
173,anaclar_s
174,LaisBaumgardt
175,alfreeda08
176,rigo_thaise
