,0
0,brunoneyo
1,RitadeCssiada1
2,BarbosaClerio
3,Raul_Soliveira
4,fabioconde
5,alequixandro19
6,patricia_ppa
7,ManeBueno
8,freitasmn1
9,Jonatha03458812
10,Brxndinha
11,sandrodedeus4
12,dersilva1978
13,Adriano18747595
14,Carlos99769914
15,smkesteves
16,edmonjunior1
17,Thiagof1400
18,QueirozNilton
19,Rogrio87177426
20,welloab
21,fabioconde
22,Neyy2409
23,DiogoSa96339329
24,Anderso65647841
25,eusousabara
26,MarlonVasco88
27,braga1970
28,WellersonZeiro
29,LnetoUlisses
30,WellingtonWild3
31,jonathanjazzaaz
32,rlaert
33,MarcosB14563859
34,_TravelBible
35,sistemascontax
36,Negaometalmg
37,romuloisj13
38,fpalenciasoares
39,thiagosfp
40,LieBittencourt
41,LnetoUlisses
42,Rosilen68042075
43,OscarAdv
44,Jorgejwsl87
45,aureliostk
46,MAILNEWSBR
47,LimaKetryn
48,AndersondaParr1
49,Jullyana3000
50,ParaisoAstral
51,renatapires74
52,LeeSampaioS5
53,SuelenNavarro5
54,JulianaSilviaB1
55,JosCarl18100592
56,itallorodrigo4
57,LuanMac11362486
58,nadiel_beta
59,Lucianoso14
60,bigeamy
61,aureliostk
62,DrikinhaRBorges
63,antonio23576604
64,Izadora_
65,mozaaaum
66,odessinhaa
67,LelehDos
68,T11T4N
69,SavioLaier
70,LeigoGaming
71,wwwwendelrochac
72,Lukishisk_Of
73,KalaniBallFree
74,JooEdson5
75,Julio78821987
76,Danilo23059362
77,Ismafutt
78,Ivansilvadossa3
79,ketlimaket
80,ada_mestre
81,Izadora_
82,Itamacio1
83,mariojfla
84,CarlosOmarRibe2
85,eniorjr
86,phellipemarkes
87,PROCON_APGYN
88,fatima_dasaude
89,vanessafialho_
90,AryssonJ
91,flavinhafloripa
92,CLAUDIAGREGORIM
93,blogrvalor
94,ValdirenoSo
95,Hiperpromo
96,goiassaudavel
97,___jessy
98,antonio23576604
99,HoracianS
100,glJanovicth
101,EricaBa82428750
102,ric4rdocorre4
103,kuringha
104,TimbetalabelSDV
105,onipotentSadico
106,WesleyBezerrad7
107,Keciolima1
108,ewertomstn
109,pedroalexy
110,Etelson1
111,timbeta375
112,Edmilso90139974
113,diegodks
114,onipotentSadico
115,Cleiton11690787
116,CavaliersBR48
117,LohSurtadinha
118,angelobezerra2
119,munra92f
120,ivanneydesilva
121,fabriciabeta17
122,100Bertos
123,Bobkindson
124,sgtkleberson
125,UlyssesSena1
126,lima_halley
127,CarlosGuerreyro
128,jedao0o
129,miatos25
130,Hallysonrodri10
131,Dgsilva08
132,fabriciabeta17
133,EvandroPLAYBOY
134,Patrici55962201
135,Renatchenho2
136,MateusS52897944
137,DiegoTatiana1
138,fsmsom
139,Anderso42050047
140,gildeonesouza
141,duda_peroni
142,elizaantoni
143,CastilloOtavio
144,berghnsten
145,MedalhaAssuncao
146,alebeesho
147,JairoOliveiraP1
148,Carlosyeshuatec
149,DaviOli25191230
150,LORESLST
151,danielsalgueiro
152,danielsalgueiro
153,Shirglei
154,Raphael41682606
155,TekinRJ
156,leandrosontak
157,JamiltoSilva
158,cesarvansjc
159,algarcia07
160,MariaFe29611734
161,juedouglasbr
162,SerradoNavio
163,blackbetatim
164,andreadf35
165,FernandoReduzi1
166,IranildoSoares3
167,leandrosontak
168,CdmdJoao
169,ricardo_telis
170,MariaRo45630502
171,kathleendias202
172,Jonathancarmoc
173,Sergbdn1
174,gessica15769523
175,Forte1Bruno
176,Deiviss76756790
177,BRUNAASOTERO
178,Katiscia3
179,Linhaartesanal
180,SBR777
181,ingridzayin3
182,Ricardo53367206
183,MageiroNunes
184,AlexAline9
185,lsantoscarvalho
186,Ricardo53367206
187,mauriciosalle
188,CarlosP95895596
189,REIXXACAL
190,estherrsilva1
191,mag_nato
192,LciaReis9
193,lilirbrasil
194,Jt_cardelli
195,AllanMMNoficial
196,negao2010
197,Pam246810
198,Juakasantana
199,Allann1010
200,Juakasantana
201,warleywbl
202,LonelyWriterTM
203,MCravancola
204,TiagoSD_TDS
205,DboraAssuncao5
206,Marcelo60308058
207,Brenno311Silva
208,DevairRodrigue8
209,leandronunes844
210,Brenno311Silva
211,MariaSubtil18
212,estherscmlapa
213,carlosan1964
214,guedes_321
215,p_moraais
216,actmyface
217,trocaapple
218,Dessa1456
219,FrasesFollower_
220,Anca_Rb
221,ManiaXimbinha
222,ThemindConsole_
223,VitriaMattos11
224,MarcioCndidode5
225,Yasmin_Ornelas_
226,MoraesSolomon
227,Marcio010171
228,NyceLima4
229,Leexo_Yagami
230,BrunoNovaesMaia
231,MoraesSolomon
232,Daniell43667577
233,amanda_98416085
234,Karinejezzer
235,lana96961
236,gabi55448356
237,EmilyVi81729119
238,Thuanny_as
239,HerzaideJ
240,alex_stiles7
241,agathadinizf
242,UsuariaDiscreta
243,deusmelibr
244,ChicoDibujos
245,Alan07929309
246,Victor_Costaah
247,PWR_BOY
248,sleizyane
249,AndrezzaMariaD1
250,Thefive5Oficial
251,Welling99774289
252,EmilyVi81729119
253,RuanMarques157
254,_VullgoFp
255,Mcltaaibb
256,Fds_jonas456
257,pratteoso
258,sooulari
259,sooubiel
260,lima_samuelpv
261,apocalipsezumby
262,comedor_br
263,PuridadeJaan
264,ForcaSdv
265,Joan_Edgley
266,pqp_toddy
267,KerolayneSampa4
268,FatosOficial_
269,Rajado_Chester
270,MilliSilva15
271,uecitei
272,JoyceTwittou
273,JoyceTwittou
274,L_2O14
275,Cyc__1
276,t__y911
277,77B
278,thalesofc
279,M00N_511
280,Jn9__
281,eayd_26
282,i2w__
283,8f8___
284,soulskiller94
285,skitwice
286,C____511
287,Mark_St22
288,albertoweissman
289,Marlindinha_
290,__lucretia
291,resmiyunusemre
292,qissotamy
293,mulwa_joe
294,Marlindinha_
295,gabriellaCRF9
296,projefolltrick
297,HelpFloow
298,followtrickhp
299,followtricksup
300,MathRangelll
301,AleHerreraHS
302,MoisesRifane
303,Enjoenta
304,ThalesTP
305,fifthpsycho
306,walmirbock
307,aquagraph
308,Doidera_News
309,Ptk_Cavalcante
310,MecFaabio
311,__farzanaa
312,PaulaAP13624084
313,italoarley1
314,MathRangelll
315,pedroricardocrf
316,eliannileo
317,jt_vulgo96
318,taisouusa
319,BiancaLeira
320,leonard67316442
321,Wallyndissimo
322,FbrSilva
323,SoulHunters_MD
324,Andress09793214
325,DispostosM
326,TrevezaniLucas
327,rn_Bill
328,magalandrade
329,Jeziel_ofc
330,Vittaocrf
331,eitahta
332,iz_sander
333,NathanF32566458
334,pravcsgabs
335,eitahta
336,sancheez_97
337,Falatucaiio
338,Leandradavv
339,39Braganca
340,PopyMichelle
341,renanmendz
342,CRFcouto
343,ClaudioJr52
344,Miguel59982169
345,Anderso23303737
346,ReeiDoOuro
347,luhXVI
348,MgAraujo22
349,DJLucasSalesB2
350,Leandro07064252
351,Pkribeiro22
352,JoellingtonJr
353,ferreirajefrey
354,eudgaraujo
355,sancheez_97
356,pedrooneto
357,Douglas38460028
358,taldoogeneral
359,Ket_Sowz
360,ThiagoCuba23
361,Carlos_Moura123
362,Smurf_002
363,crf_livix
364,Alexandre210717
365,FLAdaIlusao1895
366,caffa1996
367,math_magarcia
368,frasescriancas
369,Jessicadouradoo
370,BeatrisOliver6
371,LeccaNunes
372,YasminG12481419
373,Guui2F
374,DJJhonatanOfc
375,taldoogeneral
376,valentinnavic
377,sah_mari
378,Mamae_do_Daniel
379,KamilaMarinho18
380,Tbichosolto2
381,eusouojb
382,Juliana02986024
383,leeh55022021
384,LucasRz2
385,kauanvida1
386,Daynicolly
387,TheuMt2
388,Cpx_Zn_Rj
389,kaique12572413
390,Muttley_taliba
391,LucasVi57437043
392,EmillyCaampos
393,Ellen_1708
394,Mariza_A_Louca
395,Muttley_taliba
396,Bsouzaa0311
397,DAJULIANA22
398,Nego_7scn
399,Morenaa165
400,AnaV_Gabrielly
401,AnnySantos222
402,sant_timida
403,cortezfaztudo
404,Alessan44923702
405,santoos_robert
406,Dessinhaindia
407,Citou_Verneck
408,jhulia0308
409,Keey_Santtoos
410,JniorNecessrio3
411,Crf_Giulia
412,MenoziinC
413,AmorzinhoJooh
414,Kamilly66839974
415,Kamilly66839974
416,Angelo_Michel22
417,2L_do_martins
418,WallaceRosario_
419,kevincrf_
420,Gabriel02609718
421,3f_producoes
422,CRFjoao03
423,Ruan_faixa10
424,Falabb10
425,ighara_marcela
426,IgorJean99
427,bfrlucaas
428,LusFernandoCab1
429,ZeeaJ02
430,CKamillyy
431,LXCXS94
432,GbSilvaLeal157
433,etsarrei
434,WTgol157
435,CRFjoao03
436,poxa_juliano
437,biazinha_ret
438,SilvaSi84213394
439,Lc123_
440,Camilecandido2
441,magrellona
442,marcelle_poxan
443,vitoriacamposr2
444,crf_Ingrid87
445,21Pretha
446,2c_cabeleira
447,Bfr_Sabrina
448,reis_wal
449,KaaylaneCristi2
450,alerabetona
451,IngridEllen32
452,ingrid22jorge
453,Gabii65664101
454,MamaedoGuti
455,Dodoviic
456,crf_Ingrid87
457,Gabriel_belatoo
458,_ValeuRobert
459,marinato98
460,biliscada28
461,mhenriquezzz
462,Vtqueiiroz
463,LucasMaia022
464,Dygamaa
465,jorginfreire
466,joaopedro_244
467,pedro_lucas0202
468,Rivaldo556
469,fabinsilva03
470,021Kaio
471,LuisFelipe9_
472,98marquezz
473,TDMAFESTA
474,Mariade00904090
475,PeedroTorres22
476,marinato98
477,Surfistaa22
478,larissasilva099
479,BeethTrindadee
480,ViniciusssRocha
481,ericcffc_
